['c+', '*', '*', 'a+', '*', 'r+', '*', '*'] RRD RRD
['*', 'c+', 'd+', '*', 'd+', 'p+', '*', '*'] RDD RDD
['*', 'p+', '*', 'd+', 'p+', 'a+', '*', '*'] LDD LDD
['*', '*', '*', 'r+', '*', 'd+', '*', '*'] LDD LDD
['p+', '*', '*', 'a+', 'd+', '*', 'c+', '*'] RDD RDD
['*', 't+', '*', '-', '*', '*', 'c+', 'r+'] RUU RUU
['*', '*', '*', '*', 'r+', 't+', '*', 't+'] RDD RDD
['*', '*', 'p+', 'd+', 't+', '-', 'r+', '*'] RRU RRU
['*', 'p+', '*', '*', 'd+', '*', '*', '*'] RDD RDD
['-', 'r+', 'd+', '*', '*', '*', 'd+', 'p+'] LLU LLU
['*', '-', 'p+', '*', '*', '*', 'd+', 'p+'] RRU RRU
['a+', 'p+', '*', '*', 'r+', '*', 't+', '*'] RDD RDD
['*', '*', '*', '*', 'c+', 'p+', 'p+', '*'] RDD RDD
['*', '*', '*', 'c+', 'a+', '-', '*', '*'] RDD RDD
['*', 'c+', '*', 't+', 'd+', '*', 'p+', 'd+'] RUU RUU
['*', '*', 'p+', 'a+', '*', 'a+', '*', '*'] RRD RRD
['r+', 'c+', '-', '*', '-', 't+', 't+', '*'] LUU LUU
['-', 'p+', '*', '*', '*', 'd+', '*', '*'] RRD RRD
['*', '*', '*', 'd+', '*', '*', 'p+', '*'] LDD LDD
['-', '*', '*', '*', '*', '*', 't+', 'd+'] RUU RUU
['*', 'p+', 't+', 'p+', 'p+', 'd+', '*', 'p+'] RRD RRD
['*', '*', 'r+', '*', '*', '-', '*', '*'] LLD LLD
['c+', '*', 't+', '*', '*', 'r+', 'r+', '*'] RRU RRU
['*', 'd+', '*', '*', 'c+', 't+', 'a+', '*'] LLU LLU
['*', 'p+', 'r+', 't+', 'd+', '*', 't+', '*'] LLD LLD
['*', '*', '-', '*', '-', '*', '*', 'r+'] RUU RUU
['r+', '-', 'd+', 'd+', '*', '*', 'p+', '*'] LUU LUU
['c+', '*', 'p+', 'c+', '*', '*', '-', '*'] LDD LDD
['p+', '*', '*', '*', 'r+', 'r+', 'r+', 't+'] RRU RRU
['*', 'd+', 'p+', 'd+', 'c+', '-', 'c+', 'd+'] RUU RUU
['*', '*', 'a+', '*', 'a+', 'd+', '*', '*'] RRD RRD
['r+', 't+', '*', '*', 'a+', '-', 'a+', '-'] LUU LUU
['d+', '*', '*', 'd+', '*', '*', '*', '*'] LDD LDD
['t+', '*', '*', '*', '*', '*', '*', '*'] LUU LUU
['a+', '*', 'r+', 't+', '*', 'a+', '*', '*'] LLD LLD
['*', '*', '*', 'p+', '*', '*', '*', '*'] LDD LDD
['c+', 'c+', 't+', 'p+', 'd+', '*', '*', 'r+'] RUU RUU
['*', '*', '*', '-', 'r+', '*', 'r+', 't+'] RRU RRU
['r+', '*', '*', '*', '*', 'd+', 't+', 'r+'] RUU RUU
['*', '*', 'r+', 'c+', '*', 'a+', '*', 't+'] LLD LLD
['*', '*', 'c+', 't+', 'r+', '*', '*', 'd+'] RDD RDD
['c+', '-', '-', '-', 'p+', 't+', 'p+', '*'] RRD RRD
['*', 'p+', '*', 't+', '*', '*', '*', 'r+'] RUU RUU
['*', 'r+', 'a+', '*', '*', '*', '*', '*'] LLU LLU
['*', '*', '*', 't+', 'd+', '*', '*', '*'] RDD RDD
['t+', '*', 'c+', 'c+', '*', 'p+', 'p+', 'r+'] RUU RUU
['r+', '*', '-', '*', '*', 't+', '*', 't+'] LUU LUU
['*', 'd+', '*', '*', '-', 'd+', 'd+', '*'] RRU RRU
['d+', '*', 'r+', '*', '*', '*', 'r+', '-'] RRU RRU
['r+', '*', '*', 'a+', '*', 't+', 'd+', '*'] LUU LUU
['*', 't+', 'a+', 'd+', '*', '*', '*', 'c+'] LDD LDD
['-', '*', 't+', '*', 't+', '*', 'a+', 'd+'] RUU RUU
['c+', 'r+', '*', '*', '*', '*', '*', 't+'] LLU LLU
['c+', '*', '*', '*', 'd+', '*', 'r+', '*'] RRU RRU
['*', '-', '*', 'p+', '*', '*', '*', 'r+'] RUU RUU
['*', 't+', 'r+', '*', '*', '*', '*', '*'] LLD LLD
['*', '*', 't+', '*', '*', 'r+', 'd+', '*'] RRD RRD
['*', '*', 't+', '*', '*', 't+', 't+', 'p+'] RRU RRU
['p+', '*', '*', 'a+', 'p+', '*', '-', '*'] LDD LDD
['r+', '*', '*', 'c+', '*', '-', '-', '-'] LUU LUU
['*', 't+', '*', 'c+', '*', 'r+', '*', 'a+'] RRD RRD
['*', '*', '-', '-', '*', '*', '*', '*'] LDD LDD
['c+', 't+', '*', 'd+', '-', '*', '*', '*'] LDD LDD
['a+', '-', 'a+', '*', '*', '*', '*', '*'] LLD LLD
['d+', 't+', '*', '*', '*', 'p+', 'd+', 'c+'] RRU RRU
['t+', 'a+', '*', '*', '*', 'a+', 'r+', 'd+'] RRU RRU
['p+', 'p+', 'p+', '*', '*', 'd+', 'c+', 't+'] RRD RRD
['*', '*', '*', '*', '*', 't+', '*', '*'] RRD RRD
['-', '*', 'a+', '*', 'r+', '*', 'd+', '*'] RDD RDD
['*', '*', 'c+', 'd+', '*', 't+', 'c+', 'r+'] RUU RUU
['t+', 'a+', '*', 'r+', 'a+', 'r+', 'd+', '*'] RRD RRD
['*', '*', '*', '*', 't+', '-', '*', 'c+'] RDD RDD
['*', 'd+', 'p+', 'p+', '*', 'p+', '*', 'c+'] LLU LLU
['*', '*', '*', 'p+', 'd+', 'p+', '-', '*'] RDD RDD
['*', '*', '*', '*', 'a+', '*', '*', '-'] RDD RDD
['*', '*', 'c+', '-', '*', 'p+', 'c+', '*'] RRU RRU
['*', '*', '-', '*', '*', '*', '*', 'r+'] RUU RUU
['*', '*', '*', 'a+', '*', '*', 't+', 'd+'] RUU RUU
['p+', '-', '*', 'c+', '*', 'c+', '*', 't+'] RUU RUU
['-', 'c+', 't+', '*', 'a+', '*', '*', 'r+'] RUU RUU
['d+', 'a+', 'p+', 't+', 'a+', 'c+', 'a+', '-'] LUU LUU
['*', 'p+', 'r+', 'a+', 'c+', '*', 'r+', '*'] RRU RRU
['*', '-', '*', 'c+', '*', 'c+', 'd+', 'a+'] RRU RRU
['*', 'd+', 'r+', '*', '-', 'p+', 'a+', '*'] LLD LLD
['*', 'c+', '-', 'a+', 'd+', '*', 'a+', '*'] RDD RDD
['*', '*', '*', '*', '*', '*', '*', 'r+'] RUU RUU
['*', 't+', '*', 'd+', 'r+', 'r+', 'r+', '*'] RRU RRU
['a+', 'p+', '-', 'c+', '-', 'c+', 'p+', '*'] LUU LUU
['*', 'a+', 'a+', 'r+', 't+', 't+', '*', '*'] LDD LDD
['-', 't+', '*', 'r+', '*', 'r+', '-', 'p+'] RRD RRD
['t+', '*', 'r+', 'd+', '*', 'r+', 'p+', 'a+'] RRD RRD
['a+', '*', '*', 'p+', '-', '*', '*', '*'] LUU LUU
['d+', 'p+', 'p+', 'a+', 't+', '-', '-', '*'] LUU LUU
['a+', 'a+', 'r+', '*', '*', '*', 't+', '*'] LLD LLD
['*', '*', '*', '-', '*', 't+', 'r+', 'p+'] RRU RRU
['*', 'd+', '*', 't+', 'c+', 'c+', 'r+', 'd+'] RRU RRU
['*', '*', 't+', 'a+', '*', '*', '*', '*'] LLD LLD
['*', 'd+', '*', '*', '*', '*', '*', '-'] LLU LLU
['c+', '*', 'a+', 'a+', 'p+', '*', '*', 'a+'] RUU RUU
['*', 'r+', '-', 'p+', 'p+', 'd+', '*', '*'] LLU LLU
['*', '*', '*', '*', '*', '*', '*', 'a+'] RUU RUU
['*', 'd+', 'c+', '*', '*', '*', 'r+', 'd+'] RRU RRU
['*', 'c+', '*', '*', '*', 'a+', 'a+', '*'] RRU RRU
['c+', 'a+', 'd+', '*', 'c+', 'p+', '*', '*'] LLD LLD
['-', '*', 'p+', '*', 'a+', '*', '*', 'c+'] RDD RDD
['*', '*', '*', '*', '*', 'd+', 'r+', '*'] RRU RRU
['r+', '*', '*', '*', '*', '*', 't+', 'a+'] LUU LUU
['-', '*', 'c+', '*', '*', '*', '-', '*'] LLD LLD
['*', '*', '*', 'c+', 'd+', 'd+', 'd+', '*'] RRU RRU
['c+', 'a+', '*', 'd+', '*', '*', '*', 'c+'] LDD LDD
['*', 'p+', '*', 't+', '*', '*', '*', 'r+'] RUU RUU
['r+', 'c+', '*', '*', 'r+', '*', '*', 't+'] RDD RDD
['t+', '-', 'd+', 'a+', 'p+', '*', 'a+', 'c+'] LLD LLD
['a+', 'a+', '*', '*', '*', 'a+', 'c+', '*'] RRD RRD
['*', 'c+', '*', '*', '*', '-', '*', '*'] LLU LLU
['*', '*', '-', '*', '*', '*', '*', '*'] LLD LLD
['*', '*', 'p+', 'r+', '-', '*', '*', 'c+'] LDD LDD
['*', 'p+', '*', '*', 'a+', 'c+', '*', '*'] RDD RDD
['*', '*', '*', '*', '*', 'r+', '*', '*'] RRD RRD
['*', 'r+', 'r+', '*', '*', '-', '*', '*'] LLD LLD
['*', 'c+', '*', '*', '*', 'd+', 'r+', 'a+'] RRU RRU
['d+', '*', '-', 'r+', 'r+', 'r+', 't+', 't+'] RRD RRD
['*', '*', 'a+', '*', '*', 'd+', '*', '*'] RRD RRD
['r+', 'a+', 'r+', '*', 'c+', 'c+', '*', '*'] LLD LLD
['*', 'c+', 'c+', 'r+', '*', 'c+', '*', '*'] LDD LDD
['a+', 'a+', '*', '-', '*', '*', '*', 'a+'] RUU RUU
['*', 'p+', '*', '*', 'c+', 't+', '*', 'r+'] RUU RUU
['*', 't+', '*', '*', 'd+', '*', 't+', '*'] RDD RDD
['*', '*', 'a+', '-', '*', 'a+', 'd+', '*'] RRU RRU
['*', '*', 'p+', '-', '*', '*', 'c+', '*'] RRU RRU
['*', '*', '-', '*', 't+', '-', '*', '*'] RDD RDD
['*', '*', '*', '*', 'r+', '*', '*', 'a+'] RDD RDD
['-', '*', 'c+', '*', 'p+', '*', '-', '*'] LLD LLD
['p+', '*', '*', '*', '*', '*', '*', 't+'] RUU RUU
['*', 'r+', 'r+', '*', '-', 'p+', '*', 'r+'] RUU RUU
['*', '*', '*', '-', 'a+', '-', '*', 'c+'] RDD RDD
['p+', '*', '*', 'c+', '*', '*', 'r+', '*'] RRU RRU
['c+', '*', '*', 'r+', 'p+', '*', 't+', 'p+'] LDD LDD
['*', 'd+', 'a+', '*', '*', '*', '*', 'p+'] LLU LLU
['*', 't+', 'd+', 'r+', 'p+', '*', '-', '*'] LDD LDD
['a+', '*', '-', 't+', '*', '*', 't+', '*'] RRU RRU
['d+', 't+', 'd+', '*', '*', 't+', 'a+', '*'] LLD LLD
['*', '*', 'r+', '-', '*', 'a+', '*', 't+'] LLD LLD
['*', 'p+', '*', '*', 'a+', 'a+', '*', '*'] RRD RRD
['*', '*', '*', '-', '*', '*', 'c+', '*'] RRU RRU
['c+', 't+', '-', 'd+', '-', '*', '*', 'd+'] RUU RUU
['d+', 'c+', 't+', '-', 'd+', 'd+', '*', '*'] RRD RRD
['-', '*', 't+', '*', '*', 'c+', '*', '*'] LLD LLD
['c+', '*', 'd+', '*', '*', '*', '*', '*'] LLD LLD
['c+', '*', '*', '*', '*', 't+', '*', 'd+'] RUU RUU
['d+', 't+', '*', '*', 't+', '*', '*', '-'] LUU LUU
['*', '-', 'p+', '*', '*', 'a+', '-', 'c+'] RRD RRD
['c+', 'r+', '*', '-', '*', '*', '*', 'c+'] LLU LLU
['d+', 'p+', 'r+', '-', 'p+', 'a+', '*', '*'] LLD LLD
['c+', '*', 'r+', 'r+', 'a+', 'r+', 'd+', 'd+'] RRD RRD
['r+', '*', 'a+', '*', 'a+', '*', '*', 'r+'] RUU RUU
['*', '*', 't+', '*', '*', 'r+', '*', 't+'] RRD RRD
['t+', '*', '*', '*', 'p+', '*', 'r+', '*'] RRU RRU
['*', 'c+', '*', '*', 't+', '-', '*', 'r+'] RUU RUU
['r+', '*', 'r+', 'a+', 'p+', 'c+', '*', '*'] LLD LLD
['*', '*', '*', '*', '*', '*', 'd+', '*'] RRU RRU
['*', '*', 'd+', 'a+', 'c+', 'r+', '*', '*'] RRD RRD
['*', 'd+', 'd+', 'd+', '*', 'c+', 'd+', '*'] RRU RRU
['*', '*', '*', '*', 'a+', 'a+', '*', '*'] RRD RRD
['*', '-', '*', 'a+', '*', 'p+', '*', '*'] LDD LDD
['*', 'p+', 'c+', 'p+', '*', '*', 'p+', '*'] LLD LLD
['*', '*', '*', 'c+', '*', 'p+', 'a+', 'a+'] RUU RUU
['p+', '*', 'p+', 'p+', 'p+', 'c+', 'p+', 'a+'] RUU RUU
['c+', 'c+', '*', 'r+', '*', 't+', 't+', '*'] LDD LDD
['*', 'a+', 'c+', 'p+', '*', 'd+', 'c+', 'd+'] RUU RUU
['r+', '*', 'a+', 't+', '*', 'r+', 'r+', '*'] RRU RRU
['p+', 'd+', 'p+', '-', '*', 'p+', '*', 'd+'] RUU RUU
['r+', '-', 'a+', 't+', '*', '*', 't+', '*'] LUU LUU
['t+', 'a+', 'p+', '*', 'c+', '*', 'a+', 'r+'] RUU RUU
['-', 'a+', '*', 'd+', 'd+', '*', 't+', 't+'] RDD RDD
['*', '*', '-', '*', 'p+', '*', '*', '*'] RDD RDD
['*', '*', 'c+', '*', '*', 'd+', 'd+', 't+'] RRU RRU
['*', '*', '-', 'p+', '*', 'p+', '-', 'd+'] RUU RUU
['r+', '*', '*', 'c+', '*', '*', 'a+', '*'] LUU LUU
['c+', 'p+', 't+', 'd+', '*', 'd+', '-', '-'] RRD RRD
['*', '*', 't+', 'r+', '-', '*', 'a+', 'p+'] LDD LDD
['t+', '*', '*', '*', '*', '*', 'a+', 'a+'] LUU LUU
['*', '*', 'a+', 'r+', 'r+', '-', 'c+', 'c+'] RDD RDD
['t+', 'r+', '-', '*', '*', '-', 't+', 'c+'] LLU LLU
['*', 'p+', 'd+', 'a+', 't+', '*', 'd+', 'c+'] RRU RRU
['*', '*', '*', 'c+', 't+', 'a+', 'd+', '*'] RRU RRU
['d+', 't+', 't+', 'd+', '*', 'r+', '*', '*'] RRD RRD
['*', 'r+', '*', '*', 'a+', 'a+', '*', '*'] LLU LLU
['*', 'c+', '*', '*', '*', '*', '*', 'p+'] LLU LLU
['r+', 'c+', 'r+', '*', 'r+', 'd+', '*', 'p+'] RDD RDD
['d+', 'p+', '*', '*', '-', 't+', '*', '*'] LUU LUU
['*', '*', 'r+', '-', 'p+', '*', 'r+', 'c+'] RRU RRU
['c+', '*', 'a+', '*', '-', '*', 'p+', '*'] LLD LLD
['*', 'd+', 'p+', 't+', '*', 'p+', '*', 'r+'] RUU RUU
['c+', 'a+', 'c+', '*', '*', '*', 'r+', '*'] RRU RRU
['a+', '-', 'a+', '*', '*', '*', 'c+', '*'] LLD LLD
['*', '*', 'a+', 't+', '*', '*', '*', 't+'] RUU RUU
['t+', 'r+', 'd+', 't+', 'p+', '-', 'c+', 'r+'] RUU RUU
['t+', '-', '*', '*', 't+', 'p+', 'a+', '*'] RDD RDD
['t+', '*', 't+', '*', '*', 'c+', 'c+', '*'] LLD LLD
['t+', '*', 'p+', 'c+', '*', '*', 'p+', '-'] LUU LUU
['t+', 'd+', '*', '*', '*', 't+', 'd+', '*'] RRU RRU
['-', 'a+', '*', '*', '*', '*', '*', '*'] LLU LLU
['c+', '*', 'c+', 'r+', 'r+', 'c+', 't+', 'p+'] RDD RDD
['*', 'd+', 'a+', 'a+', '-', '*', '*', '*'] LLU LLU
['*', '*', 'd+', 'p+', '*', 'r+', '*', 'a+'] RRD RRD
['*', 'a+', 't+', 'c+', 'a+', 'a+', 'p+', 'd+'] RUU RUU
['p+', '*', '-', '-', 'c+', '*', 'd+', '*'] RRU RRU
['-', '*', '*', 'r+', 'd+', '*', '-', '*'] LDD LDD
['r+', '*', 'd+', '*', '*', 'r+', 'a+', 't+'] RRD RRD
['a+', '*', '*', '*', '*', 'p+', '*', '*'] LUU LUU
['*', '*', '*', '*', '*', '*', 'c+', 't+'] RUU RUU
['p+', '*', '*', 'd+', 't+', 'c+', '*', '*'] LDD LDD
['*', '*', 'r+', 'c+', 'r+', '*', 'd+', 'd+'] RDD RDD
['r+', '*', '*', '*', '*', 'c+', '*', '*'] LUU LUU
['d+', '*', '*', '-', '*', '*', '*', '*'] LUU LUU
['d+', '*', '*', '*', 'a+', 'd+', '*', 'd+'] RUU RUU
['*', 'p+', '*', '*', '-', '*', '*', '-'] LLU LLU
['*', 'd+', '*', 'p+', '*', '*', '*', '*'] LLU LLU
['a+', 'c+', 'a+', '*', 'r+', '-', 'p+', 'd+'] RDD RDD
['p+', 'p+', 'a+', 'a+', '*', '*', '*', 'd+'] RUU RUU
['*', 'd+', '*', 'a+', '-', '*', 'r+', 'a+'] RRU RRU
['*', '*', 'p+', 'c+', '*', 'd+', '*', '*'] RRD RRD
['*', 'c+', 'p+', 'd+', '*', '*', 'a+', 'a+'] LDD LDD
['*', 'a+', 'a+', '*', '-', 'a+', 't+', '*'] RRU RRU
['*', '*', 'd+', 't+', 'p+', '*', '*', '*'] LLD LLD
['a+', '*', '*', '*', '*', 'p+', 't+', 'd+'] RUU RUU
['p+', '*', '*', 't+', 'r+', '-', '*', '*'] RDD RDD
['a+', '*', '*', '*', '-', 't+', '*', 'd+'] RUU RUU
['*', '*', 'd+', '*', '*', 'd+', 'd+', '*'] RRU RRU
['r+', 'r+', 't+', '-', '*', '*', '*', '*'] LLU LLU
['-', '*', 'd+', 'a+', 't+', '*', 't+', 't+'] LLD LLD
['r+', 'r+', 'a+', 'a+', 'p+', 'p+', '*', '*'] LLU LLU
['c+', 'd+', '*', 'p+', 't+', '*', 'd+', '-'] RRU RRU
['-', 'p+', 'c+', '*', '*', 'a+', '-', 'd+'] RUU RUU
['*', '*', 'a+', '*', '*', '*', '*', 'r+'] RUU RUU
['-', '*', '*', '*', '*', '*', '*', 'p+'] RUU RUU
['*', '*', '-', '*', '*', '*', '*', '*'] LLD LLD
['r+', '*', 'r+', 'd+', 'd+', '*', '*', 't+'] LLD LLD
['*', 'a+', 'd+', 'r+', '*', '*', '*', '-'] LDD LDD
['*', '-', 'a+', '-', '*', 'c+', '*', 'p+'] LLD LLD
['a+', 'a+', 't+', '-', 'r+', '*', 'r+', '*'] RRU RRU
['*', '*', 'p+', 'a+', '*', 'r+', '*', 'r+'] RUU RUU
['t+', 'a+', 'p+', '-', '*', '-', '*', 'c+'] LUU LUU
['*', '*', 'a+', 'r+', 'p+', 'p+', '*', 'c+'] LDD LDD
['*', '*', 'r+', 'd+', '*', 'p+', 'a+', 'r+'] RUU RUU
['*', 'a+', 'p+', 'r+', '*', 'd+', '*', '*'] LDD LDD
['*', '-', 'r+', '*', '*', '*', '*', '*'] LLD LLD
['*', '*', '*', '-', 'r+', 'p+', 'p+', 'r+'] RUU RUU
['*', '*', 'd+', '*', '*', 'r+', 'p+', '*'] RRD RRD
['r+', '*', '*', 't+', 'r+', '*', 'c+', '*'] RDD RDD
['p+', '*', '*', 'c+', 't+', 't+', 'c+', 'c+'] RRD RRD
['c+', '*', 'r+', 'p+', '*', 't+', '*', 'r+'] RUU RUU
['a+', '*', 't+', 't+', 't+', '*', '*', 'p+'] RDD RDD
['*', '*', 'd+', '*', 'r+', '*', '*', '-'] RDD RDD
['*', 'c+', '-', '*', 'a+', '*', 'c+', '*'] RDD RDD
['*', '*', 't+', '*', '*', 't+', '*', '*'] RRD RRD
['*', '*', '*', 'c+', 'c+', 'a+', 't+', 't+'] RUU RUU
['p+', 't+', '*', 't+', 'p+', 'a+', '*', '-'] LDD LDD
['*', 'c+', '*', '-', 'p+', 'd+', 'c+', '*'] RRD RRD
['*', '*', 'c+', 't+', '*', '*', 'p+', '*'] LDD LDD
['a+', 'r+', 'd+', 'c+', 't+', 'r+', 'c+', 'p+'] RRD RRD
['r+', 'd+', '*', '*', 'p+', '-', '*', '*'] LUU LUU
['*', '*', '*', '*', '-', 't+', 't+', '*'] RRU RRU
['t+', '*', 'p+', '*', '*', 'd+', '*', '-'] RRD RRD
['*', '*', '*', 'r+', '*', 'a+', 't+', 'a+'] LDD LDD
['*', '-', '*', '*', 't+', 't+', '*', '*'] RRD RRD
['d+', '*', '*', 'd+', '*', 'r+', 'r+', 'a+'] RRU RRU
['a+', '*', '*', 'p+', '*', 'c+', '*', 'a+'] RUU RUU
['a+', '*', 'd+', 'c+', '*', 'c+', '*', '*'] LLD LLD
['-', '*', '-', 't+', 'p+', '*', 'r+', '*'] RRU RRU
['*', '*', 'a+', '*', '*', 'p+', '*', 'c+'] LLD LLD
['d+', '*', 'r+', '*', '*', '*', '-', 'r+'] RUU RUU
['d+', '*', '*', '*', 'a+', '*', '*', '-'] LUU LUU
['*', '*', '*', '*', '-', 'a+', 'p+', 'r+'] RUU RUU
['p+', 'c+', 't+', 'c+', '*', 'c+', '*', '*'] LLD LLD
['*', '*', '*', '*', '*', '*', 'c+', '*'] RRU RRU
['*', '*', '*', '-', '-', '*', '*', 'a+'] RUU RUU
['c+', '*', '-', 't+', 'c+', 't+', '*', '*'] RRD RRD
['t+', 'c+', '*', 't+', '-', 'd+', '*', 'r+'] RUU RUU
['*', '*', 't+', '*', '*', '-', '*', 'd+'] RUU RUU
['r+', '*', '*', 'd+', 'c+', 't+', 't+', 'a+'] LUU LUU
['*', 'c+', '*', 'r+', 'd+', '*', 'p+', '-'] LDD LDD
['*', 't+', 'p+', 'd+', '*', '*', '*', '*'] LDD LDD
['*', '*', '*', '-', '*', 'a+', '*', '*'] RRD RRD
['t+', 't+', 'p+', '*', 'p+', 't+', '*', 'p+'] RRD RRD
['a+', '-', 'c+', '*', '-', 'r+', '-', '*'] RRD RRD
['t+', 'r+', 'p+', '*', '*', '-', '*', '*'] LLU LLU
['-', '*', '*', '*', 'd+', '*', '*', '*'] RDD RDD
['p+', '*', '*', 'r+', 't+', '*', '*', '-'] LDD LDD
['*', 't+', '*', '*', 'c+', '*', '*', 'a+'] LLU LLU
['-', '*', '*', '*', 'p+', 't+', 'a+', '*'] RRD RRD
['-', 'a+', '-', '-', '*', 'd+', 'r+', '*'] RRU RRU
['*', '*', 'p+', '*', '*', '*', '*', 'd+'] RUU RUU
['*', 'a+', 'p+', '-', 't+', '*', '-', '*'] RDD RDD
['a+', 'c+', 'c+', 'r+', 'a+', 'd+', '*', '*'] LDD LDD
['*', '*', '*', '*', '*', '*', 'a+', '*'] RRU RRU
['*', '*', 'd+', '-', 'c+', '-', 'a+', 'c+'] LLD LLD
['*', '*', 'd+', '*', '*', '*', 'd+', '*'] RRU RRU
['a+', 't+', '*', 'd+', '*', '*', '-', 'p+'] LDD LDD
['d+', 'c+', '-', '-', 'd+', '*', 'r+', 'p+'] RRU RRU
['*', '*', 'p+', '*', '*', '*', 'p+', '-'] RRU RRU
['*', '*', 'a+', '*', '*', '*', '*', '*'] LLD LLD
['*', 't+', 'c+', '-', '*', '*', '*', '*'] LLU LLU
['*', 't+', 'r+', 'r+', '*', '-', 'p+', '*'] LDD LDD
['p+', '*', '*', '-', 'p+', 'c+', 'd+', '-'] RRU RRU
['*', 'a+', '*', '*', 'd+', '-', 't+', 'r+'] RUU RUU
['*', '*', '*', 't+', 'p+', '*', 't+', 'r+'] RUU RUU
['*', '*', '*', '*', '*', '-', '*', 't+'] RUU RUU
['*', 't+', 'c+', '*', 't+', '-', '*', '*'] RDD RDD
['r+', '-', '*', '-', 'c+', '-', 'c+', '*'] LUU LUU
['*', 't+', '*', '*', 'd+', 't+', '*', 't+'] RDD RDD
['r+', '*', '*', '-', '*', '*', '*', '*'] LUU LUU
['t+', '*', '*', 'r+', '*', '*', 'd+', '-'] LDD LDD
['*', '*', '*', '*', 't+', 'c+', '*', 'r+'] RUU RUU
['p+', 'a+', 'p+', 'd+', '*', 't+', '-', '*'] LDD LDD
['*', '*', '*', '*', '*', 'd+', 'd+', 'p+'] RRU RRU
['c+', '*', 'a+', 'a+', 'r+', 'c+', 't+', '-'] RDD RDD
['d+', 'a+', '*', '*', '*', '*', '*', '-'] LUU LUU
['r+', 'a+', '-', '-', 't+', 'c+', 'r+', '*'] RRU RRU
['*', 'r+', 'p+', '*', '*', 'c+', 'd+', 't+'] LLU LLU
['*', 'r+', 'p+', 'r+', '*', '*', '*', 'd+'] LDD LDD
['a+', 'a+', 'p+', 'p+', '*', 'a+', '*', '*'] RRD RRD
['a+', '*', '*', '*', '*', 'c+', '-', 'p+'] LUU LUU
['*', '*', 'c+', '*', '*', 'p+', '*', 'r+'] RUU RUU
['*', '*', '*', '-', 'c+', 'r+', 'd+', '*'] RRD RRD
['*', '*', 'r+', 'c+', '*', 'c+', '*', '*'] LLD LLD
['*', '*', '-', '*', 'r+', 'c+', 'p+', '*'] RDD RDD
['*', '*', 'd+', '*', 'r+', 'a+', 'r+', '*'] RRU RRU
['*', 'c+', '*', '*', '*', '*', 'a+', '*'] RRU RRU
['c+', 'r+', 't+', '*', '*', '*', '*', 'd+'] LLU LLU
['*', '-', 'a+', 't+', 'a+', 'p+', 'p+', '*'] LDD LDD
['*', 'r+', '*', 'r+', '*', '*', '*', '*'] LDD LDD
['c+', '*', '*', '*', 't+', '*', '*', '*'] RDD RDD
['*', '*', 'd+', '*', '-', '*', '*', 'd+'] RUU RUU
['r+', '*', '*', 'c+', '-', '*', '*', '*'] LUU LUU
['*', 'r+', 'a+', '-', '*', '*', '-', '*'] LLU LLU
['r+', '*', '*', '*', '*', '*', '*', '*'] LUU LUU
['c+', 'd+', 'r+', '*', '*', 'r+', 'c+', 't+'] RRD RRD
['*', 'r+', '-', '*', 'p+', '-', '*', '*'] LLU LLU
['p+', 'r+', 'a+', '*', '*', 'p+', '*', 'r+'] RUU RUU
['c+', 'd+', '*', '*', 'p+', 'r+', 'c+', '*'] RRD RRD
['-', 'r+', '*', '*', 'p+', 'a+', '*', 'a+'] LLU LLU
['c+', 'p+', '*', '*', 'a+', 'c+', 'a+', '*'] RRU RRU
['*', '*', '*', '*', 'c+', 'a+', 'a+', 'd+'] RUU RUU
['c+', '*', 'c+', '*', '*', '*', 'p+', '*'] LLD LLD
['c+', '*', 'c+', '*', 'a+', '*', '*', '*'] RDD RDD
['*', 'c+', '*', 'a+', '*', '*', '*', '*'] LDD LDD
['a+', '*', 'p+', '*', 'c+', 'd+', 'd+', 'r+'] RUU RUU
['d+', 't+', '*', '*', 'p+', 'd+', '*', 'a+'] RRD RRD
['*', '-', '*', '*', '*', '*', '*', 'p+'] RUU RUU
['*', '*', '*', 'a+', 'r+', 'd+', 'a+', '*'] RDD RDD
['*', '*', 'a+', '*', '*', '*', 'a+', '*'] RRU RRU
['p+', '*', 'd+', '*', '*', 'p+', '*', '*'] LLD LLD
['*', '*', 'c+', '-', '*', 'd+', 't+', '-'] RRD RRD
['c+', '-', '*', '-', '*', '*', 'd+', '*'] RRU RRU
['p+', 'd+', 'c+', '*', 'c+', '*', '*', '*'] LLU LLU
['c+', 'c+', '*', '*', '*', '*', '*', 'p+'] LLU LUU
['-', '*', '*', '*', '*', 'c+', '-', '*'] RRD RRD
['c+', 't+', 't+', '*', '*', 'd+', '-', 'p+'] RRD RRD
['p+', '*', 'd+', '*', '*', 'a+', 'd+', '*'] RRU RRU
['-', '*', '*', 'p+', '*', '*', '*', '*'] LDD LDD
['-', '*', 'd+', 'd+', '*', '*', '*', '*'] LDD LDD
['*', '*', '*', '*', '*', '*', '*', '*'] RUU RUU
['t+', '-', '*', '*', '*', '-', 'd+', '*'] RRU RRU
['*', '*', '*', 'r+', '*', '*', '*', '*'] LDD LDD
['r+', 'a+', '*', 't+', '*', 'a+', 'd+', '*'] LUU LUU
['c+', '*', '*', '*', 't+', '-', '*', 'a+'] RDD RDD
